function,N,t_serial_s,t_parallel_s,t_gpu_s,speedup_par,speedup_gpu,mpts_per_s_gpu
elliptic12,10000,0.008601,0.038191,0.008316,0.2252,1.0343,1.20
elliptic12,50000,0.048326,0.045646,0.013917,1.0587,3.4725,3.59
elliptic12,100000,0.100350,0.066169,0.025280,1.5166,3.9695,3.96
elliptic12,500000,0.564004,0.264349,0.144220,2.1336,3.9107,3.47
elliptic12,1000000,1.296288,0.529319,0.279802,2.4490,4.6329,3.57
elliptic12,2000000,2.561035,1.038347,0.556930,2.4665,4.5985,3.59
elliptic12,4000000,5.113989,2.091157,1.125630,2.4455,4.5432,3.55
ellipj,10000,0.006599,0.036384,0.005972,0.1814,1.1050,1.67
ellipj,50000,0.039839,0.043123,0.012846,0.9238,3.1013,3.89
ellipj,100000,0.081232,0.062385,0.023619,1.3021,3.4393,4.23
ellipj,500000,0.482797,0.234793,0.142958,2.0563,3.3772,3.50
ellipj,1000000,1.088633,0.465281,0.285184,2.3397,3.8173,3.51
ellipj,2000000,2.178679,0.927770,0.573252,2.3483,3.8006,3.49
ellipj,4000000,4.423991,1.857532,1.144091,2.3817,3.8668,3.50
elliptic3,10000,0.003658,0.040543,0.003768,0.0902,0.9708,2.65
elliptic3,50000,0.015018,0.039493,0.005471,0.3803,2.7450,9.14
elliptic3,100000,0.031942,0.047550,0.007794,0.6718,4.0983,12.83
elliptic3,500000,0.212221,0.139322,0.030642,1.5232,6.9258,16.32
elliptic3,1000000,0.445127,0.288707,0.056390,1.5418,7.8937,17.73
elliptic3,2000000,1.205626,0.582733,0.099529,2.0689,12.1133,20.09
elliptic3,4000000,2.667856,1.167311,0.198776,2.2855,13.4214,20.12
jacobiThetaEta,10000,0.009873,0.037828,0.008491,0.2610,1.1628,1.18
jacobiThetaEta,50000,0.050320,0.048047,0.019340,1.0473,2.6019,2.59
jacobiThetaEta,100000,0.111616,0.070375,0.038428,1.5860,2.9046,2.60
jacobiThetaEta,500000,0.701410,0.294416,0.244374,2.3824,2.8702,2.05
jacobiThetaEta,1000000,1.459758,0.583218,0.493477,2.5029,2.9581,2.03
jacobiThetaEta,2000000,2.995275,1.211046,0.999598,2.4733,2.9965,2.00
jacobiThetaEta,4000000,6.112207,2.419045,1.974976,2.5267,3.0948,2.03
