function,backend,N,ms_per_call,melem_s,peak_mb,gpu_mb
elliptic12,numpy,10000,17.3462,0.58,2.63,0.00
elliptic3,numpy,10000,25.5116,0.39,0.86,0.00
ellipj,numpy,10000,15.1492,0.66,7.46,0.00
ellipticBDJ,numpy,10000,42.0870,0.24,2.69,0.00
ellipticBD,numpy,10000,15.5450,0.64,2.70,0.00
jacobiEDJ,numpy,10000,24.9904,0.40,7.30,0.00
carlsonRF,numpy,10000,2.3075,4.33,1.15,0.00
carlsonRD,numpy,10000,5.0098,2.00,1.45,0.00
cel1,numpy,10000,32.6797,0.31,3.19,0.00
jacobiThetaEta,numpy,10000,24.5491,0.41,1.02,0.00
theta3,numpy,10000,12.7708,0.78,0.62,0.00
weierstrassP,numpy,10000,14.8735,0.67,7.38,0.00
agm,numpy,10000,1.0271,9.74,0.46,0.00
elliptic12,numpy,100000,134.7358,0.74,25.47,0.00
elliptic3,numpy,100000,47.7346,2.09,8.50,0.00
ellipj,numpy,100000,249.7869,0.40,74.49,0.00
ellipticBDJ,numpy,100000,355.9134,0.28,26.04,0.00
ellipticBD,numpy,100000,121.2896,0.82,26.23,0.00
jacobiEDJ,numpy,100000,311.1905,0.32,72.96,0.00
carlsonRF,numpy,100000,18.7402,5.34,10.68,0.00
carlsonRD,numpy,100000,38.6829,2.59,13.74,0.00
cel1,numpy,100000,245.0313,0.41,31.10,0.00
jacobiThetaEta,numpy,100000,234.5280,0.43,10.21,0.00
theta3,numpy,100000,120.5304,0.83,6.20,0.00
weierstrassP,numpy,100000,241.6847,0.41,73.73,0.00
agm,numpy,100000,5.5467,18.03,4.58,0.00
elliptic12,numpy,1000000,2152.2029,0.46,254.64,0.00
elliptic3,numpy,1000000,569.8562,1.75,84.89,0.00
ellipj,numpy,1000000,2723.3797,0.37,744.83,0.00
ellipticBDJ,numpy,1000000,4369.2442,0.23,260.36,0.00
ellipticBD,numpy,1000000,2128.1158,0.47,262.27,0.00
jacobiEDJ,numpy,1000000,3749.9979,0.27,729.57,0.00
carlsonRF,numpy,1000000,331.8868,3.01,106.81,0.00
carlsonRD,numpy,1000000,678.5009,1.47,137.33,0.00
cel1,numpy,1000000,4328.2872,0.23,310.91,0.00
jacobiThetaEta,numpy,1000000,2523.5070,0.40,102.05,0.00
theta3,numpy,1000000,1238.6800,0.81,61.99,0.00
weierstrassP,numpy,1000000,2660.6611,0.38,737.20,0.00
agm,numpy,1000000,99.3745,10.06,45.78,0.00
elliptic12,torch-cpu,10000,16.2032,0.62,2.63,0.00
elliptic3,torch-cpu,10000,4.1894,2.39,0.86,0.00
ellipj,torch-cpu,10000,12.4927,0.80,7.46,0.00
ellipticBDJ,torch-cpu,10000,41.5008,0.24,2.69,0.00
ellipticBD,torch-cpu,10000,15.0433,0.66,2.70,0.00
jacobiEDJ,torch-cpu,10000,21.9764,0.46,7.23,0.00
carlsonRF,torch-cpu,10000,2.4197,4.13,1.15,0.00
carlsonRD,torch-cpu,10000,5.1219,1.95,1.45,0.00
cel1,torch-cpu,10000,32.9811,0.30,3.19,0.00
weierstrassP,torch-cpu,10000,12.4885,0.80,7.38,0.00
agm,torch-cpu,10000,0.8575,11.66,0.46,0.00
elliptic12,torch-cpu,100000,122.6443,0.82,25.47,0.00
elliptic3,torch-cpu,100000,30.4593,3.28,8.50,0.00
ellipj,torch-cpu,100000,247.0767,0.40,74.49,0.00
ellipticBDJ,torch-cpu,100000,347.0103,0.29,26.04,0.00
ellipticBD,torch-cpu,100000,120.2929,0.83,26.23,0.00
jacobiEDJ,torch-cpu,100000,309.3482,0.32,72.20,0.00
carlsonRF,torch-cpu,100000,17.9915,5.56,10.68,0.00
carlsonRD,torch-cpu,100000,38.6708,2.59,13.74,0.00
cel1,torch-cpu,100000,241.3301,0.41,31.10,0.00
weierstrassP,torch-cpu,100000,243.8517,0.41,73.73,0.00
agm,torch-cpu,100000,5.1945,19.25,4.58,0.00
elliptic12,torch-cpu,1000000,2113.1253,0.47,254.64,0.00
elliptic3,torch-cpu,1000000,565.2231,1.77,84.89,0.00
ellipj,torch-cpu,1000000,2723.0807,0.37,744.83,0.00
ellipticBDJ,torch-cpu,1000000,4391.3790,0.23,260.36,0.00
ellipticBD,torch-cpu,1000000,2154.2033,0.46,262.27,0.00
jacobiEDJ,torch-cpu,1000000,3731.3899,0.27,721.94,0.00
carlsonRF,torch-cpu,1000000,326.8724,3.06,106.81,0.00
carlsonRD,torch-cpu,1000000,670.4272,1.49,137.33,0.00
cel1,torch-cpu,1000000,4310.7527,0.23,310.91,0.00
weierstrassP,torch-cpu,1000000,2677.8742,0.37,737.20,0.00
agm,torch-cpu,1000000,98.1256,10.19,45.78,0.00
elliptic12,torch-cuda,10000,13.5397,0.74,0.00,1.00
elliptic3,torch-cuda,10000,2.8617,3.49,0.00,0.84
ellipj,torch-cuda,10000,8.4407,1.18,0.00,1.07
ellipticBDJ,torch-cuda,10000,34.2374,0.29,0.00,1.00
ellipticBD,torch-cuda,10000,12.6328,0.79,0.00,1.00
carlsonRF,torch-cuda,10000,2.0391,4.90,0.00,1.00
carlsonRD,torch-cuda,10000,3.8690,2.58,0.00,1.00
cel1,torch-cuda,10000,24.7011,0.40,0.00,0.84
weierstrassP,torch-cuda,10000,7.6926,1.30,0.00,0.84
agm,torch-cuda,10000,0.6891,14.51,0.00,0.84
elliptic12,torch-cuda,100000,115.6774,0.86,0.00,9.92
elliptic3,torch-cuda,100000,29.2776,3.42,0.00,8.40
ellipj,torch-cuda,100000,238.5303,0.42,0.00,10.68
ellipticBDJ,torch-cuda,100000,338.5149,0.30,0.00,9.92
ellipticBD,torch-cuda,100000,119.4013,0.84,0.00,9.92
carlsonRF,torch-cuda,100000,18.2924,5.47,0.00,9.92
carlsonRD,torch-cuda,100000,37.2985,2.68,0.00,9.92
cel1,torch-cuda,100000,234.0746,0.43,0.00,8.40
weierstrassP,torch-cuda,100000,236.7809,0.42,0.00,8.40
agm,torch-cuda,100000,5.3995,18.52,0.00,8.40
elliptic12,torch-cuda,1000000,2109.6602,0.47,0.00,99.18
elliptic3,torch-cuda,1000000,399.2933,2.50,0.00,83.92
ellipj,torch-cuda,1000000,2674.3713,0.37,0.00,106.81
ellipticBDJ,torch-cuda,1000000,4372.9880,0.23,0.00,99.18
ellipticBD,torch-cuda,1000000,2084.9857,0.48,0.00,99.18
carlsonRF,torch-cuda,1000000,316.1749,3.16,0.00,99.18
carlsonRD,torch-cuda,1000000,659.3038,1.52,0.00,99.18
cel1,torch-cuda,1000000,4159.8516,0.24,0.00,83.92
weierstrassP,torch-cuda,1000000,2636.4774,0.38,0.00,83.92
agm,torch-cuda,1000000,100.1944,9.98,0.00,83.92
elliptic12,jax,10000,15.4316,0.65,2.78,0.00
elliptic3,jax,10000,3.8013,2.63,1.09,0.00
ellipj,jax,10000,12.6259,0.79,7.61,0.00
ellipticBDJ,jax,10000,41.8952,0.24,2.91,0.00
ellipticBD,jax,10000,15.6259,0.64,2.78,0.00
jacobiEDJ,jax,10000,20.8810,0.48,7.42,0.00
carlsonRF,jax,10000,2.7107,3.69,1.38,0.00
carlsonRD,jax,10000,5.2689,1.90,1.68,0.00
cel1,jax,10000,32.0667,0.31,3.27,0.00
weierstrassP,jax,10000,12.3415,0.81,7.68,0.00
agm,jax,10000,0.9075,11.02,0.61,0.00
elliptic12,jax,100000,118.1895,0.85,27.00,0.00
elliptic3,jax,100000,29.2041,3.42,10.79,0.00
ellipj,jax,100000,221.7489,0.45,76.02,0.00
ellipticBDJ,jax,100000,353.6856,0.28,28.33,0.00
ellipticBD,jax,100000,117.0117,0.85,26.99,0.00
