function,backend,N,ms_per_call,melem_s,peak_mb,gpu_mb
elliptic12,numpy,10000,16.9338,0.59,2.45,0.00
elliptic3,numpy,10000,8.3592,1.20,0.95,0.00
ellipj,numpy,10000,12.2480,0.82,3.31,0.00
ellipticBDJ,numpy,10000,46.6703,0.21,2.69,0.00
ellipticBD,numpy,10000,16.0082,0.62,2.52,0.00
jacobiEDJ,numpy,10000,21.3126,0.47,3.16,0.00
carlsonRF,numpy,10000,2.3868,4.19,1.15,0.00
carlsonRD,numpy,10000,4.8496,2.06,1.45,0.00
cel1,numpy,10000,66.7296,0.15,2.68,0.00
jacobiThetaEta,numpy,10000,26.3994,0.38,1.02,0.00
theta3,numpy,10000,14.5133,0.69,0.62,0.00
weierstrassP,numpy,10000,12.4400,0.80,3.23,0.00
agm,numpy,10000,0.7709,12.97,0.46,0.00
elliptic12,numpy,100000,117.2549,0.85,23.66,0.00
elliptic3,numpy,100000,41.0041,2.44,9.44,0.00
ellipj,numpy,100000,90.4733,1.11,33.01,0.00
ellipticBDJ,numpy,100000,328.3008,0.30,26.14,0.00
ellipticBD,numpy,100000,119.0501,0.84,24.42,0.00
jacobiEDJ,numpy,100000,144.7882,0.69,31.48,0.00
carlsonRF,numpy,100000,17.9186,5.58,10.68,0.00
carlsonRD,numpy,100000,39.0365,2.56,13.74,0.00
cel1,numpy,100000,501.1867,0.20,25.95,0.00
jacobiThetaEta,numpy,100000,251.2186,0.40,10.21,0.00
theta3,numpy,100000,123.7371,0.81,6.20,0.00
weierstrassP,numpy,100000,101.8814,0.98,32.24,0.00
agm,numpy,100000,5.2952,18.88,4.58,0.00
elliptic12,numpy,1000000,2172.8434,0.46,236.52,0.00
elliptic3,numpy,1000000,504.3892,1.98,93.46,0.00
ellipj,numpy,1000000,1030.1697,0.97,329.98,0.00
ellipticBDJ,numpy,1000000,4253.2856,0.24,261.31,0.00
ellipticBD,numpy,1000000,2119.6393,0.47,244.15,0.00
jacobiEDJ,numpy,1000000,2059.1818,0.49,314.72,0.00
carlsonRF,numpy,1000000,343.5919,2.91,106.81,0.00
carlsonRD,numpy,1000000,722.8306,1.38,137.33,0.00
cel1,numpy,1000000,7519.3867,0.13,259.41,0.00
jacobiThetaEta,numpy,1000000,2879.7337,0.35,102.05,0.00
theta3,numpy,1000000,1278.4593,0.78,61.99,0.00
weierstrassP,numpy,1000000,1078.6500,0.93,322.35,0.00
agm,numpy,1000000,107.2489,9.32,45.78,0.00
elliptic12,torch-cpu,10000,18.7992,0.53,0.00,0.00
elliptic3,torch-cpu,10000,3.3082,3.02,0.00,0.00
ellipj,torch-cpu,10000,4.3451,2.30,0.00,0.00
ellipticBDJ,torch-cpu,10000,42.9372,0.23,0.00,0.00
ellipticBD,torch-cpu,10000,18.3227,0.55,0.00,0.00
jacobiEDJ,torch-cpu,10000,13.2358,0.76,0.00,0.00
carlsonRF,torch-cpu,10000,2.7787,3.60,0.00,0.00
carlsonRD,torch-cpu,10000,6.1473,1.63,0.00,0.00
cel1,torch-cpu,10000,69.4452,0.14,0.00,0.00
weierstrassP,torch-cpu,10000,4.5502,2.20,0.00,0.00
agm,torch-cpu,10000,1.0607,9.43,0.00,0.00
elliptic12,torch-cpu,100000,57.5798,1.74,0.00,0.00
elliptic3,torch-cpu,100000,10.1810,9.82,0.00,0.00
ellipj,torch-cpu,100000,15.4594,6.47,0.00,0.00
ellipticBDJ,torch-cpu,100000,152.9703,0.65,0.00,0.00
ellipticBD,torch-cpu,100000,53.5750,1.87,0.00,0.00
jacobiEDJ,torch-cpu,100000,40.8985,2.45,0.00,0.00
carlsonRF,torch-cpu,100000,8.4832,11.79,0.00,0.00
carlsonRD,torch-cpu,100000,17.2008,5.81,0.00,0.00
cel1,torch-cpu,100000,228.1822,0.44,0.00,0.00
weierstrassP,torch-cpu,100000,17.1677,5.82,0.00,0.00
agm,torch-cpu,100000,2.2210,45.03,0.00,0.00
elliptic12,torch-cpu,1000000,1967.9480,0.51,0.00,0.00
elliptic3,torch-cpu,1000000,256.8892,3.89,0.00,0.00
ellipj,torch-cpu,1000000,332.2794,3.01,0.00,0.00
ellipticBDJ,torch-cpu,1000000,3137.2169,0.32,0.00,0.00
ellipticBD,torch-cpu,1000000,1963.4434,0.51,0.00,0.00
jacobiEDJ,torch-cpu,1000000,1294.3909,0.77,0.00,0.00
carlsonRF,torch-cpu,1000000,296.3216,3.37,0.00,0.00
carlsonRD,torch-cpu,1000000,645.7295,1.55,0.00,0.00
cel1,torch-cpu,1000000,6119.0204,0.16,0.00,0.00
weierstrassP,torch-cpu,1000000,353.7478,2.83,0.00,0.00
agm,torch-cpu,1000000,81.9151,12.21,0.00,0.00
elliptic12,torch-cuda,10000,12.8850,0.78,0.00,2.99
elliptic3,torch-cuda,10000,2.1716,4.60,0.00,1.61
ellipj,torch-cuda,10000,2.3355,4.28,0.00,3.85
ellipticBDJ,torch-cuda,10000,22.5079,0.44,0.00,3.23
ellipticBD,torch-cuda,10000,12.1388,0.82,0.00,3.07
jacobiEDJ,torch-cuda,10000,8.0626,1.24,0.00,3.85
carlsonRF,torch-cuda,10000,1.8571,5.38,0.00,1.99
carlsonRD,torch-cuda,10000,4.0820,2.45,0.00,2.30
weierstrassP,torch-cuda,10000,2.4716,4.05,0.00,4.01
agm,torch-cuda,10000,0.6457,15.49,0.00,1.15
elliptic12,torch-cuda,100000,13.6288,7.34,0.00,29.76
elliptic3,torch-cuda,100000,2.2280,44.88,0.00,16.03
ellipj,torch-cuda,100000,2.7901,35.84,0.00,38.35
ellipticBDJ,torch-cuda,100000,26.0557,3.84,0.00,32.15
ellipticBD,torch-cuda,100000,13.1994,7.58,0.00,30.53
jacobiEDJ,torch-cuda,100000,8.6975,11.50,0.00,38.35
carlsonRF,torch-cuda,100000,1.9347,51.69,0.00,19.84
carlsonRD,torch-cuda,100000,3.8690,25.85,0.00,22.90
weierstrassP,torch-cuda,100000,2.5020,39.97,0.00,39.88
agm,torch-cuda,100000,0.6642,150.55,0.00,11.45
elliptic12,torch-cuda,1000000,113.2991,8.83,0.00,297.55
elliptic3,torch-cuda,1000000,15.6225,64.01,0.00,160.22
ellipj,torch-cuda,1000000,21.6702,46.15,0.00,383.38
ellipticBDJ,torch-cuda,1000000,186.9315,5.35,0.00,321.39
ellipticBD,torch-cuda,1000000,113.8278,8.79,0.00,305.18
jacobiEDJ,torch-cuda,1000000,77.2137,12.95,0.00,383.38
carlsonRF,torch-cuda,1000000,17.1827,58.20,0.00,198.36
carlsonRD,torch-cuda,1000000,37.3315,26.79,0.00,228.88
weierstrassP,torch-cuda,1000000,21.5344,46.44,0.00,398.64
agm,torch-cuda,1000000,5.4665,182.93,0.00,114.44
